OPERADOR,DEPARTAMENTO,MUNICIPIO,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA ACTIVACIÓN
ERT,Risaralda,Santuario,PARQUE PRINCIPAL PERALONSO,6668702002,PERALONSO,-75.925078,4.991575,06/05/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Albania,"ZONA COLEGIO SAGRADO CORAZÓN DE JESÚS (ALCALDÍA, POLIDEPORTIVO, AUDITORIO)",6802005001,CR: 15A-CASA1,-73.912833,5.75875,09/01/2017 12:00:00 AM
ETB,Santander,Bucaramanga,PARQUE DE LOS NIÑOS ,6800101000,CRA 27 CON CALLE 32 Y CRA 26,-73.11896,7.124766,12/28/2016 12:00:00 AM
TELEBUCARAMANGA,Santander,Bucaramanga,PARQUE CRISTO REY,6800105001,CARR: 18 CON CALLE 9 Y 10,-73.128901,7.13669,06/02/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Bucaramanga,PARQUE ESTORAQUES,6800105002,CR: 19A-CALL 123,-73.143565,7.091472,06/02/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Bucaramanga,PARQUE CALLE ESTUDIANTES,6800105003,CALLE DE LOS ESTUDIANTES,-73.123271,7.105782,06/02/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Curití,UNIDAD DEPORTIVA CARLOS MANUEL CASTRO,6822905001,PRINCIPAL 45A- CALLE9,-73.070986,6.60504,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Curití,PARQUE PRINCIPAL,6822905002,CR: 10 Y 11,-73.068944,6.606888,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Curití,KIOSKO DE INFORMACIÓN TURÍSTICA,6822905003,PRINCIPAL 45A- CALLE9,-73.072972,6.606697,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,El Carmen de Chucurí,PARQUE PRINCIPAL ALIRIO BELTRAN,6823505001,CAR: 3 CON CALLE 4 Y 5,-73.510917,6.698472,06/02/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Encino,PARQUE PRINCIPAL,6826405001,CALL: 4 CON CR: 4,-73.098919,6.137944,09/01/2017 12:00:00 AM
ETB,Santander,Floridablanca,PARQUE PRINCIPAL ,6827601000,CRA 8 CON CALLE 6 Y 5,-73.086055,7.063083,12/28/2016 12:00:00 AM
TELEBUCARAMANGA,Santander,Floridablanca,PARQUE DE LA PERA -CAÑAVERAL-,6827605001,CARRERA: 25 CON CALLE 30 Y 29A,-73.107325,7.069598,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Floridablanca,PARQUE DE VILLABEL,6827605002,CR: 12 CON CALLE 11 Y 12,-73.103083,7.079611,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Floridablanca,TANQUE DE AGUA BARRIO LA CUMBRE,6827605003,CR: 5 Y 6 ESTE CON CALLE 33,-73.09011,7.076888,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Guadalupe,PARQUE PRINCIPAL DE GUADALUPE,6832005001,CAR: 4 #5-31,-73.418261,6.246811,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Macaravita,PARQUE PRINCIPAL,6842505001,CALL: 3 # 3-38,-72.592922,6.506106,06/02/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Ocamonte,PARQUE PRINCIPAL,6849805001,CALL: 3 CON CALLE 5,-73.121978,6.34056,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Puerto Wilches,PARQUE INFANTIL,6857505001,CALLE: 6 CON CARR: 9 Y 8 BARRIO CIÉNAGA,-73.896158,7.348338,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Sabana de Torres,PARQUE INFANTIL,6865505001,CR: 3 # 4 Y 5,-73.49103,7.394764,06/02/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,San Miguel,PARQUE PRINCIPAL,6868605001,CR: 4 CON CALL:5,-72.645917,6.575778,06/02/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Simacota,PARQUE PRINCIPAL,6874505001,CARR: 7 - 45A CON CALLE: 3,-73.338356,6.44325,06/02/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Sucre,PARQUE PRINCIPAL,6877305001,CARR: 5- N. 4-43,-73.791444,5.917778,09/01/2017 12:00:00 AM
TELEBUCARAMANGA,Santander,Valle de San José,PARQUE PRINCIPAL,6885505001,CRR: 8 Y 7 ENTRE CALLES 4 Y 5,-73.144083,6.447833,06/02/2017 12:00:00 AM
UNE,Sucre,Buenavista,PARQUE CENTRAL,7011006001,"ENTRE CALLES 8 Y 9 Y CARRERAS 10 Y 10A, BARRIO CENTRO",-74.974647,9.319201,09/14/2017 12:00:00 AM
ETB,Sucre,Corozal,PARQUE SANTANDER,7021501000,CARRERA 39 A NO. 11-83,-75.292694,9.314444,12/30/2016 12:00:00 AM
UNE,Sucre,Corozal,DULCE NOMBRE DE JESUS,7021506001,PLAZOLETA CENTRAL CERCA DE LA CAPILLA,-75.295554,9.332841,09/14/2017 12:00:00 AM
UNE,Sucre,Corozal,RENACIMIENTO,7021506002,BARRIO EL RENACIMIENTO FRENTE A LA INSTITUCION EDUCATIVA PEZTALOCIANO.,-75.284766,9.317521,09/14/2017 12:00:00 AM
UNE,Sucre,Corozal,PARQUE ANIBAL BADEL,7021506003,VIA AL MUNICIPIO DE SAN JUAN DE BETULIA. BARRIO LOS CEREZOS PLAZOLETA CENTRAL,-75.289722,9.320346,09/14/2017 12:00:00 AM
UNE,Sucre,San Luis de Sincé,PARQUE SIMÓN BOLÍVAR,7014206001,CRR 11 # 8-10 PARQUE CENTRAL,-75.147218,9.244516,09/14/2017 12:00:00 AM
UNE,Sucre,San Onofre,PARQUE PRINCIPAL,7071306001,"KRA. 20 Nº 19 - 16, PLAZA PRINCIPAL, SAN ONOFRE",-75.525445,9.737256,09/14/2017 12:00:00 AM
UNE,Sucre,Santiago de Tolú,MALECOM,7082006001,CRA1,-75.585255,9.524914,09/14/2017 12:00:00 AM
UNE,Sucre,Santiago de Tolú,PARQUE PRINCIPAL PEDRO DE HEREDIA,7082006002,CRA 2 CALLE 15,-75.583939,9.523882,09/14/2017 12:00:00 AM
ETB,Sucre,Sincelejo,PLAZA CULTURAL DE MAJAGUAL ,7000101000,CARRERA 39 A NO. 11-83,-75.395083,9.295833,12/30/2016 12:00:00 AM
UNE,Sucre,Sincelejo,CORREGIMIENTO DE LA ARENA,7000106001,CRA 20 CON CALLE 20- CENTRO,-75.483499,9.3756,09/14/2017 12:00:00 AM
UNE,Sucre,Sincelejo,PLAZA PRINCIPAL CORREGIMIENTO DE CHOCHÓ,7000106002,PLAZA CENTRAL,-75.340482,9.24721,09/14/2017 12:00:00 AM
UNE,Sucre,Sincelejo,PARQUE DE MOCHILA,7000106003,CALLES 24 Y 25 CRA 13 Y 14,-75.398236,9.300084,09/14/2017 12:00:00 AM
UNE,Sucre,Tolú Viejo,PARQUE CENTRAL,7082306001,"CABECERA MUNICIPAL, CENTRO AL LADO DE LA IGLESIA CATOLICA CENTRAL DEL PUEBLO ",-75.438496,9.450917,09/14/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Alvarado,PARQUE PRINCIPAL,7302605001,CRA 2 Y 3 CALLE 3 Y 4,-74.953089,4.566099,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Cajamarca,PARQUE SANTANDER,7312405001,CALLE 6 Y 7 CRA 7 Y 8,-75.426823,4.442016,07/07/2017 12:00:00 AM
ERT,Boyacá,Paez ,Parque Principal,1551408001,Carrera 3 No. 5-37,-72.883148,5.517551,05/04/2018 12:00:00 AM
TELEBUCARAMANGA,Tolima,Chaparral,"PARQUE PRINCIPAL ""PARQUE DE LOS PRESIDENTES""",7316805001,CRA 8 Y 9 CON CALLE 8,-75.485047,3.724497,07/07/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Coyaima,PARQUE PRINCIPAL LOS FUNDADORES,7321705001,CALLE 2 Y 3 CRA 3 Y 4,-75.19461,3.799416,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Cunday,PARQUE PRINCIPAL SIMÓN BOLÍVAR,7322605001,CRA 2 Y 3 CALLE 3 Y4,-74.880272,4.539114,07/07/2017 12:00:00 AM
ETB,Tolima,Espinal,PLAZA BOLIVAR PARQUE PRINCIPAL,7326801000,PLAZA BOLIVAR PARQUE PRINCIPAL,-74.884419,4.150369,02/15/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Espinal,PARQUE LIBERTADOR,7326805001,CRA 6 Y 7 CALLE 2 Y 3,-74.894562,4.14668,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Espinal,PARQUE MITOLÓGICO,7326805002,CALLE 16 Y 17 CRA 3Y 4,-74.891787,4.150602,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Espinal,CASA DE LA CULTURA,7326805003,CRA 6 Y 7 CALLE 20 Y 21,-74.87799,4.152591,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Falan,PARQUE PRINCIPAL,7327005001,CALLE 5 CRA 4 Y 5,-74.951699,5.123951,07/07/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Flandes,PARQUE PRINCIPAL,7327505001,CALLE 10 TRANV. 10,-74.812298,4.287858,07/07/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Guamo,PARQUE PRINCIPAL LA LECHUZA,7331905001,CRA11-CALL 11 -10,-74.970871,4.031672,07/07/2017 12:00:00 AM
ETB,Tolima,Ibagué,COMUNA 8 SUPERMANZANA 4 / MANZANA 1 - BARRIO NUEVA CASTILLA COMUNA 8,7300101000,COMUNA 8 SUPERMANZANA 4 / MANZANA 1 - BARRIO NUEVA CASTILLA COMUNA 8,-75.159805,4.435805,03/18/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Ibagué,BARRIO EL LIBERTADOR,7300105001,CALLE 4A CRA 1 SUR,-75.248215,4.447193,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Ibagué,CIUDADELA COMFENALCO,7300105002,CRA 18B BIS SUR,-75.155547,4.407078,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Ibagué,PLAZA PRINCIPAL DE BOLIVAR,7300105003,CALLE 9 Y 10 CRA 2 Y 3,-75.243027,4.444652,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Líbano,PARQUE PRINCIPAL ISIDRO PARRA,7341105001,CALL 4-5 CRA 10-11,-75.064681,4.923002,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Mariquita,PLAZOLETA VILLA HOLANDA,7344305001,CALLE 3 Y 4 CRA 3,-74.897692,5.199958,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Melgar,"PLAZOLETA GUSTAVO ROJAS PINILLA (PARQUE PRINCIPAL),",7344905001,CRA 25 Y 26 CALLE 5 Y 6,-74.642968,4.204035,07/07/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Natagaima,PLAZA PRINCIPAL DE LA CONSTITUCIÓN,7348305001,CALLE 4 Y 5 CRA 1 Y 2,-75.09679,3.62339,07/07/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Piedras,PARQUE PRINCIPAL DEL CASCO URBANO,7354705001,CRA 2 Y 3 CALLE 3 Y4,-74.880272,4.539114,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Prado,PARQUE PRINCIPAL,7356305001,CRA 5 Y 6 CALLE 9 Y 10,-74.929812,3.750737,07/07/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Purificación,PARQUE CENTRAL PEREZ Y ALDANA (EN EL SECTOR DEL CRUCE),7358505001,CALLE 5 Y 6 CRA 7 Y 8 AV PRINC,-74.933414,3.854159,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Rioblanco,PARQUE DE LA CONFRATERNIDAD,7361605001,CALLE 5 CRA 4 Y 5,-75.645568,3.529791,07/07/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Rovira,PARQUE PRINCIPAL SIMON BOLIVAR,7362405001,CRA1 Y 2 CALLE 3 Y 3,-75.241056,4.243184,07/07/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Venadillo,PARQUE PRINCIPAL LOS VENADOS,7386105001,CRA 4 Y 5 CON CALLE 2 Y 3,-74.926463,4.72215,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Tolima,Villahermosa,PARQUE PRINCIPAL,7387005001,CLLE 8 Y 9 CR 4TA,-75.116549,5.030829,05/22/2017 12:00:00 AM
TELEBUCARAMANGA,Valle del Cauca,Bolívar,PARQUE PRINCIPAL,7610005001,PARQUE PRINCIPAL RICAUTE,-76.207756,4.308258,09/27/2017 12:00:00 AM
ETB,Valle del Cauca,Buenaventura,POLIDEPORTIVO LA INDEPENDENCIA,7610901000,KR 62 CON DIAGONAL 9A,-76.999961,3.878148,05/04/2017 12:00:00 AM
TELEBUCARAMANGA,Valle del Cauca,Buenaventura,PARQUE LLERAS,7610905001,CALLE 2 CON CRA 18,-77.062818,3.877836,05/04/2017 12:00:00 AM
TELEBUCARAMANGA,Valle del Cauca,Buenaventura,PARQUE MONTECHINO,7610905002,CARRERA 17 CON CALLE 4,-77.065409,3.880656,05/04/2017 12:00:00 AM
TELEBUCARAMANGA,Valle del Cauca,Buenaventura,BOULEVARD CENTRO,7610905003,CALLE 3 CON CRA 2,-77.078846,3.890545,05/04/2017 12:00:00 AM
ETB,Valle del Cauca,Cali,CANCHA LA ESTACIÓN,7600101000,CANCHA LA ESTACIÓN KR 3AN CON CALLE 72F A 72J,-76.493165,3.493986,03/10/2017 12:00:00 AM
