OPERADOR,DEPARTAMENTO,MUNICIPIO,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA ACTIVACIÓN
UNE,Antioquia,Hispania,PARQUE PRINCIPAL,535306001,CALLE 48 CON CARRERA 50,-75907434,5799584,06/02/2017 12:00:00 AM
UNE,Antioquia,Itagui,PARQUE OBRERO - BRAZIL,536006001,CALLE 48 CON CARRERA 50,-75611552,6171477,06/02/2017 12:00:00 AM
UNE,Antioquia,Ituango,PARQUE PRINCIPAL,536106001,CRA. 20 #20-32 (PARQUE PRINCIPAL),-75763711,7172222,06/02/2017 12:00:00 AM
UNE,Antioquia,Jardín,PARQUE PRINCIPAL,536406001,CL. 9 CR 5,-75819275,5598808,06/02/2017 12:00:00 AM
UNE,Antioquia,Jericó,PARQUE PRINCIPAL,536806001,CALLE 6 #4-2 (PARQUE PRINCIPAL JERICÓ),-7578605,5791505,06/02/2017 12:00:00 AM
UNE,Antioquia,La Ceja,PARQUE PRINCIPAL,537606001,CRA. 20#19-31 (PARQUE PRINCIPAL),-75431625,603071,06/02/2017 12:00:00 AM
UNE,Antioquia,La Estrella,PARQUE PRINCIPAL,538006001,CRA. 60 #80 SUR-1 (PARQUE PRINCIPAL),-75643419,615765,06/02/2017 12:00:00 AM
UNE,Antioquia,La Pintada,PARQUE PRINCIPAL,539006001,CALLE 35 CON CARRERA 32,-75605902,5747275,06/02/2017 12:00:00 AM
UNE,Antioquia,La Unión,PARQUE PRINCIPAL,540006001,CL. 11 #9-11 (PARQUE PRINCIPAL),-75361544,5973277,06/02/2017 12:00:00 AM
UNE,Antioquia,Liborina,PARQUE PRINCIPAL,541106001,PARQUE PRINCIPAL LIBORINA,-75811238,6678172,06/02/2017 12:00:00 AM
UNE,Antioquia,Maceo,PARQUE PRINCIPAL,542506001,PARQUE PRINCIPAL MACEO,-74787753,6553524,06/02/2017 12:00:00 AM
